util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
0,0.0000,10000000,10000000,100.00000000,0,0,0,0,0.00000000
49,0.4900,10000000,10000000,100.00000000,49000,46550,46547,9999,94.99387755
99,0.9900,10000000,10000000,100.00000000,99000,94050,94041,9999,94.99090909
148,1.4800,10000000,10000000,100.00000000,148000,140600,140580,9998,94.98648649
198,1.9800,10000000,10000000,100.00000000,198000,188100,188064,9998,94.98181818
247,2.4700,10000000,10000000,100.00000000,247000,234650,234594,9997,94.97732794
297,2.9700,10000000,10000000,100.00000000,297000,282150,282070,9997,94.97306397
346,3.4600,10000000,10000000,100.00000000,346000,328700,328591,9996,94.96849711
396,3.9600,10000000,10000000,100.00000000,396000,376200,376058,9996,94.96414141
445,4.4500,10000000,10000000,100.00000000,445000,422750,422571,9995,94.95977528
495,4.9500,10000000,10000000,100.00000000,495000,470250,470028,9995,94.95515152
544,5.4400,10000000,10000000,100.00000000,544000,516800,516532,9994,94.95073529
594,5.9400,10000000,10000000,100.00000000,594000,564300,563981,9994,94.94629630
643,6.4300,10000000,10000000,100.00000000,643000,610850,610476,9993,94.94183515
693,6.9300,10000000,10000000,100.00000000,693000,658350,657915,9993,94.93722944
742,7.4200,10000000,10000000,100.00000000,742000,704900,704401,9992,94.93274933
792,7.9200,10000000,10000000,100.00000000,792000,752400,751832,9992,94.92828283
841,8.4100,10000000,10000000,100.00000000,841000,798950,798309,9991,94.92378121
891,8.9100,10000000,10000000,100.00000000,891000,846450,845729,9991,94.91907969
940,9.4000,10000000,10000000,100.00000000,940000,893000,892197,9991,94.91457447
990,9.9000,10000000,10000000,100.00000000,990000,940500,939608,9990,94.90989899
1039,10.3900,10000000,10000000,100.00000000,1039000,987050,986066,9990,94.90529355
1089,10.8900,10000000,10000000,100.00000000,1089000,1034550,1033467,9989,94.90055096
1138,11.3800,10000000,10000000,100.00000000,1138000,1081100,1079915,9989,94.89586995
1188,11.8800,10000000,10000000,100.00000000,1188000,1128600,1127305,9988,94.89099327
1237,12.3700,10000000,10000000,100.00000000,1237000,1175150,1173742,9988,94.88617623
1287,12.8700,10000000,10000000,100.00000000,1287000,1222650,1221122,9987,94.88127428
1336,13.3600,10000000,10000000,100.00000000,1336000,1269200,1267547,9986,94.87627246
1386,13.8600,10000000,10000000,100.00000000,1386000,1316700,1314914,9986,94.87113997
1435,14.3500,10000000,10000000,100.00000000,1435000,1363250,1361328,9985,94.86606272
1485,14.8500,10000000,10000000,100.00000000,1485000,1410750,1408681,9985,94.86067340
1534,15.3400,10000000,10000000,100.00000000,1534000,1457300,1455081,9984,94.85534550
1584,15.8400,10000000,10000000,100.00000000,1584000,1504800,1502420,9984,94.84974747
1633,16.3300,10000000,10000000,100.00000000,1633000,1551350,1548805,9983,94.84415187
1683,16.8300,10000000,10000000,100.00000000,1683000,1598850,1596128,9982,94.83826500
1732,17.3200,10000000,10000000,100.00000000,1732000,1645400,1642496,9982,94.83233256
1782,17.8200,10000000,10000000,100.00000000,1782000,1692900,1689801,9981,94.82609428
1831,18.3100,10000000,10000000,100.00000000,1831000,1739450,1736150,9981,94.81977062
1881,18.8100,10000000,10000000,100.00000000,1881000,1786950,1783434,9980,94.81307815
1930,19.3000,10000000,10000000,100.00000000,1930000,1833500,1829762,9979,94.80632124
1980,19.8000,10000000,10000000,100.00000000,1980000,1881000,1877023,9978,94.79914141
2029,20.2900,10000000,10000000,100.00000000,2029000,1927550,1923326,9978,94.79181863
2079,20.7900,10000000,10000000,100.00000000,2079000,1975050,1970561,9977,94.78407888
2128,21.2800,10000000,10000000,100.00000000,2128000,2021600,2016837,9976,94.77617481
2178,21.7800,10000000,10000000,100.00000000,2178000,2069100,2064041,9975,94.76772268
2227,22.2700,10000000,10000000,100.00000000,2227000,2115650,2110286,9974,94.75913785
2277,22.7700,10000000,10000000,100.00000000,2277000,2163150,2157456,9973,94.74993412
2326,23.2600,10000000,10000000,100.00000000,2326000,2209700,2203664,9972,94.74049871
2376,23.7600,10000000,10000000,100.00000000,2376000,2257200,2250795,9971,94.73042929
2425,24.2500,10000000,10000000,100.00000000,2425000,2303750,2296962,9970,94.72008247
2475,24.7500,10000000,10000000,100.00000000,2475000,2351250,2344048,9969,94.70901010
2524,25.2400,10000000,10000000,100.00000000,2524000,2397800,2390169,9968,94.69766244
2574,25.7400,10000000,10000000,100.00000000,2574000,2445300,2437203,9966,94.68543124
2623,26.2300,10000000,10000000,100.00000000,2623000,2491850,2483270,9965,94.67289363
2673,26.7300,10000000,10000000,100.00000000,2673000,2539350,2530247,9964,94.65944632
2722,27.2200,10000000,10000000,100.00000000,2722000,2585900,2576253,9962,94.64559148
2772,27.7200,10000000,10000000,100.00000000,2772000,2633400,2623163,9961,94.63069986
2821,28.2100,10000000,10000000,100.00000000,2821000,2679950,2669100,9959,94.61538462
2871,28.7100,10000000,10000000,100.00000000,2871000,2727450,2715935,9957,94.59892024
2920,29.2000,10000000,10000000,100.00000000,2920000,2774000,2761793,9955,94.58195205
2970,29.7000,10000000,10000000,100.00000000,2970000,2821500,2808544,9954,94.56377104
3019,30.1900,10000000,10000000,100.00000000,3019000,2868050,2854314,9952,94.54501491
3069,30.6900,10000000,10000000,100.00000000,3069000,2915550,2900968,9949,94.52486152
3118,31.1800,10000000,10000000,100.00000000,3118000,2962100,2946638,9947,94.50410520
3168,31.6800,10000000,10000000,100.00000000,3168000,3009600,2993185,9945,94.48184975
3217,32.1700,10000000,10000000,100.00000000,3217000,3056150,3038743,9943,94.45890581
3267,32.6700,10000000,10000000,100.00000000,3267000,3103650,3085168,9940,94.43428222
3316,33.1600,10000000,10000000,100.00000000,3316000,3150200,3130600,9937,94.40892642
3366,33.6600,10000000,10000000,100.00000000,3366000,3197700,3176890,9934,94.38175876
3415,34.1500,10000000,10000000,100.00000000,3415000,3244250,3222181,9931,94.35376281
3465,34.6500,10000000,10000000,100.00000000,3465000,3291750,3268319,9928,94.32378066
3514,35.1400,10000000,10000000,100.00000000,3514000,3338300,3313453,9925,94.29291406
3564,35.6400,10000000,10000000,100.00000000,3564000,3385800,3359422,9922,94.25987654
3613,36.1300,10000000,10000000,100.00000000,3613000,3432350,3404381,9918,94.22587877
3663,36.6300,10000000,10000000,100.00000000,3663000,3479850,3450161,9914,94.18948949
3712,37.1200,10000000,10000000,100.00000000,3712000,3526400,3494926,9910,94.15210129
3762,37.6200,10000000,10000000,100.00000000,3762000,3573900,3540497,9906,94.11209463
3811,38.1100,10000000,10000000,100.00000000,3811000,3620450,3585047,9902,94.07103123
