util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
0,0.0000,10000000,10000000,100.00000000,0,0,0,0,0.00000000
49,0.4900,10000000,10000000,100.00000000,49000,46550,46463,9981,94.82244898
99,0.9900,10000000,10000000,100.00000000,99000,94050,93696,9962,94.64242424
148,1.4800,10000000,10000000,100.00000000,148000,140600,139809,9943,94.46554054
198,1.9800,10000000,10000000,100.00000000,198000,188100,186684,9924,94.28484848
247,2.4700,10000000,10000000,100.00000000,247000,234650,232447,9906,94.10809717
297,2.9700,10000000,10000000,100.00000000,297000,282150,278965,9887,93.92760943
346,3.4600,10000000,10000000,100.00000000,346000,328700,324378,9868,93.75086705
396,3.9600,10000000,10000000,100.00000000,396000,376200,370538,9849,93.57020202
445,4.4500,10000000,10000000,100.00000000,445000,422750,415601,9830,93.39348315
495,4.9500,10000000,10000000,100.00000000,495000,470250,461404,9811,93.21292929
544,5.4400,10000000,10000000,100.00000000,544000,516800,506116,9793,93.03602941
594,5.9400,10000000,10000000,100.00000000,594000,564300,551562,9774,92.85555556
643,6.4300,10000000,10000000,100.00000000,643000,610850,595924,9755,92.67869362
693,6.9300,10000000,10000000,100.00000000,693000,658350,641012,9736,92.49812410
742,7.4200,10000000,10000000,100.00000000,742000,704900,685023,9718,92.32115903
792,7.9200,10000000,10000000,100.00000000,792000,752400,729754,9699,92.14065657
841,8.4100,10000000,10000000,100.00000000,841000,798950,773415,9680,91.96373365
891,8.9100,10000000,10000000,100.00000000,891000,846450,817788,9661,91.78316498
940,9.4000,10000000,10000000,100.00000000,940000,893000,861098,9642,91.60617021
990,9.9000,10000000,10000000,100.00000000,990000,940500,905114,9623,91.42565657
1039,10.3900,10000000,10000000,100.00000000,1039000,987050,948073,9605,91.24860443
1089,10.8900,10000000,10000000,100.00000000,1089000,1034550,991730,9586,91.06795225
1138,11.3800,10000000,10000000,100.00000000,1138000,1081100,1034339,9567,90.89094903
1188,11.8800,10000000,10000000,100.00000000,1188000,1128600,1077638,9548,90.71026936
1237,12.3700,10000000,10000000,100.00000000,1237000,1175150,1119895,9529,90.53314470
1287,12.8700,10000000,10000000,100.00000000,1287000,1222650,1162835,9510,90.35236985
1336,13.3600,10000000,10000000,100.00000000,1336000,1269200,1204740,9492,90.17514970
1386,13.8600,10000000,10000000,100.00000000,1386000,1316700,1247320,9473,89.99422799
1435,14.3500,10000000,10000000,100.00000000,1435000,1363250,1288873,9454,89.81693380
1485,14.8500,10000000,10000000,100.00000000,1485000,1410750,1331094,9435,89.63595960
1534,15.3400,10000000,10000000,100.00000000,1534000,1457300,1372293,9416,89.45847458
1584,15.8400,10000000,10000000,100.00000000,1584000,1504800,1414153,9397,89.27733586
1633,16.3300,10000000,10000000,100.00000000,1633000,1551350,1454998,9378,89.09969382
1683,16.8300,10000000,10000000,100.00000000,1683000,1598850,1496496,9359,88.91836007
1732,17.3200,10000000,10000000,100.00000000,1732000,1645400,1536987,9341,88.74058891
1782,17.8200,10000000,10000000,100.00000000,1782000,1692900,1578122,9322,88.55903479
1831,18.3100,10000000,10000000,100.00000000,1831000,1739450,1618256,9303,88.38099399
1881,18.8100,10000000,10000000,100.00000000,1881000,1786950,1659027,9284,88.19920255
1930,19.3000,10000000,10000000,100.00000000,1930000,1833500,1698803,9265,88.02088083
1980,19.8000,10000000,10000000,100.00000000,1980000,1881000,1739207,9246,87.83873737
2029,20.2900,10000000,10000000,100.00000000,2029000,1927550,1778624,9227,87.66012814
2079,20.7900,10000000,10000000,100.00000000,2079000,1975050,1818660,9208,87.47763348
2128,21.2800,10000000,10000000,100.00000000,2128000,2021600,1857715,9189,87.29863722
2178,21.7800,10000000,10000000,100.00000000,2178000,2069100,1897382,9170,87.11579431
2227,22.2700,10000000,10000000,100.00000000,2227000,2115650,1936072,9151,86.93632690
2277,22.7700,10000000,10000000,100.00000000,2277000,2163150,1975366,9131,86.75300834
2326,23.2600,10000000,10000000,100.00000000,2326000,2209700,2013690,9112,86.57308684
2376,23.7600,10000000,10000000,100.00000000,2376000,2257200,2052608,9093,86.38922559
2425,24.2500,10000000,10000000,100.00000000,2425000,2303750,2090562,9074,86.20874227
