util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
0,0.0000,10000000,10000000,100.00000000,0,0,0,0,0.00000000
49,0.4900,10000000,10000000,100.00000000,49000,46550,46506,9990,94.91020408
99,0.9900,10000000,10000000,100.00000000,99000,94050,93873,9981,94.82121212
148,1.4800,10000000,10000000,100.00000000,148000,140600,140204,9971,94.73243243
198,1.9800,10000000,10000000,100.00000000,198000,188100,187392,9962,94.64242424
247,2.4700,10000000,10000000,100.00000000,247000,234650,233548,9953,94.55384615
297,2.9700,10000000,10000000,100.00000000,297000,282150,280557,9943,94.46363636
346,3.4600,10000000,10000000,100.00000000,346000,328700,326539,9934,94.37543353
396,3.9600,10000000,10000000,100.00000000,396000,376200,373369,9924,94.28510101
445,4.4500,10000000,10000000,100.00000000,445000,422750,419175,9915,94.19662921
495,4.9500,10000000,10000000,100.00000000,495000,470250,465827,9905,94.10646465
544,5.4400,10000000,10000000,100.00000000,544000,516800,511458,9896,94.01801471
594,5.9400,10000000,10000000,100.00000000,594000,564300,557931,9887,93.92777778
643,6.4300,10000000,10000000,100.00000000,643000,610850,603386,9877,93.83919129
693,6.9300,10000000,10000000,100.00000000,693000,658350,649680,9868,93.74891775
742,7.4200,10000000,10000000,100.00000000,742000,704900,694961,9859,93.66051213
792,7.9200,10000000,10000000,100.00000000,792000,752400,741076,9849,93.57020202
841,8.4100,10000000,10000000,100.00000000,841000,798950,786181,9840,93.48168847
891,8.9100,10000000,10000000,100.00000000,891000,846450,832117,9830,93.39135802
940,9.4000,10000000,10000000,100.00000000,940000,893000,877046,9821,93.30276596
990,9.9000,10000000,10000000,100.00000000,990000,940500,922803,9811,93.21242424
1039,10.3900,10000000,10000000,100.00000000,1039000,987050,967557,9802,93.12386910
1089,10.8900,10000000,10000000,100.00000000,1089000,1034550,1013134,9792,93.03342516
1138,11.3800,10000000,10000000,100.00000000,1138000,1081100,1057711,9783,92.94472759
1188,11.8800,10000000,10000000,100.00000000,1188000,1128600,1103108,9774,92.85420875
1237,12.3700,10000000,10000000,100.00000000,1237000,1175150,1147509,9764,92.76548100
1287,12.8700,10000000,10000000,100.00000000,1287000,1222650,1192725,9755,92.67482517
1336,13.3600,10000000,10000000,100.00000000,1336000,1269200,1236949,9745,92.58600299
1386,13.8600,10000000,10000000,100.00000000,1386000,1316700,1281984,9736,92.49523810
1435,14.3500,10000000,10000000,100.00000000,1435000,1363250,1326029,9726,92.40620209
1485,14.8500,10000000,10000000,100.00000000,1485000,1410750,1370882,9717,92.31528620
1534,15.3400,10000000,10000000,100.00000000,1534000,1457300,1414748,9708,92.22607562
1584,15.8400,10000000,10000000,100.00000000,1584000,1504800,1459418,9698,92.13497475
1633,16.3300,10000000,10000000,100.00000000,1633000,1551350,1503104,9689,92.04556032
1683,16.8300,10000000,10000000,100.00000000,1683000,1598850,1547589,9679,91.95418895
1732,17.3200,10000000,10000000,100.00000000,1732000,1645400,1591094,9669,91.86454965
1782,17.8200,10000000,10000000,100.00000000,1782000,1692900,1635393,9660,91.77289562
1831,18.3100,10000000,10000000,100.00000000,1831000,1739450,1678714,9650,91.68290552
1881,18.8100,10000000,10000000,100.00000000,1881000,1786950,1722825,9641,91.59090909
1930,19.3000,10000000,10000000,100.00000000,1930000,1833500,1765961,9631,91.50056995
1980,19.8000,10000000,10000000,100.00000000,1980000,1881000,1809882,9621,91.40818182
