util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
0,0.0000,10000000,10000000,100.00000000,0,0,0,0,0.00000000
49,0.4900,10000000,10000000,100.00000000,49000,46550,46546,9999,94.99183673
99,0.9900,10000000,10000000,100.00000000,99000,94050,94032,9998,94.98181818
148,1.4800,10000000,10000000,100.00000000,148000,140600,140552,9996,94.96756757
198,1.9800,10000000,10000000,100.00000000,198000,188100,187998,9994,94.94848485
247,2.4700,10000000,10000000,100.00000000,247000,234650,234467,9992,94.92591093
297,2.9700,10000000,10000000,100.00000000,297000,282150,281848,9989,94.89831650
346,3.4600,10000000,10000000,100.00000000,346000,328700,328240,9986,94.86705202
396,3.9600,10000000,10000000,100.00000000,396000,376200,375531,9982,94.83106061
445,4.4500,10000000,10000000,100.00000000,445000,422750,421823,9978,94.79168539
495,4.9500,10000000,10000000,100.00000000,495000,470250,468999,9973,94.74727273
544,5.4400,10000000,10000000,100.00000000,544000,516800,515166,9968,94.69963235
594,5.9400,10000000,10000000,100.00000000,594000,564300,562202,9962,94.64680135
643,6.4300,10000000,10000000,100.00000000,643000,610850,608220,9956,94.59097978
693,6.9300,10000000,10000000,100.00000000,693000,658350,655091,9950,94.52972583
742,7.4200,10000000,10000000,100.00000000,742000,704900,700935,9943,94.46563342
792,7.9200,10000000,10000000,100.00000000,792000,752400,747617,9936,94.39608586
841,8.4100,10000000,10000000,100.00000000,841000,798950,793262,9928,94.32366231
891,8.9100,10000000,10000000,100.00000000,891000,846450,839729,9920,94.24567901
940,9.4000,10000000,10000000,100.00000000,940000,893000,885152,9912,94.16510638
990,9.9000,10000000,10000000,100.00000000,990000,940500,931379,9903,94.07868687
1039,10.3900,10000000,10000000,100.00000000,1039000,987050,976555,9893,93.98989413
1089,10.8900,10000000,10000000,100.00000000,1089000,1034550,1022517,9883,93.89504132
1138,11.3800,10000000,10000000,100.00000000,1138000,1081100,1067421,9873,93.79797891
1188,11.8800,10000000,10000000,100.00000000,1188000,1128600,1113094,9862,93.69478114
1237,12.3700,10000000,10000000,100.00000000,1237000,1175150,1157702,9851,93.58949070
1287,12.8700,10000000,10000000,100.00000000,1287000,1222650,1203060,9839,93.47785548
1336,13.3600,10000000,10000000,100.00000000,1336000,1269200,1247348,9827,93.36437126
1386,13.8600,10000000,10000000,100.00000000,1386000,1316700,1292366,9815,93.24430014
1435,14.3500,10000000,10000000,100.00000000,1435000,1363250,1336309,9802,93.12257840
