util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
7623,76.2300,10000000,10000000,100.00000000,7623000,7241850,3493825,4824,45.83267742
7672,76.7200,10000000,10000000,100.00000000,7672000,7288400,3470479,4761,45.23564911
7722,77.2200,10000000,10000000,100.00000000,7722000,7335900,3445622,4696,44.62084952
7771,77.7100,10000000,10000000,100.00000000,7771000,7382450,3420240,4632,44.01286836
7821,78.2100,10000000,10000000,100.00000000,7821000,7429950,3393284,4567,43.38683033
7870,78.7000,10000000,10000000,100.00000000,7870000,7476500,3365822,4501,42.76775095
7920,79.2000,10000000,10000000,100.00000000,7920000,7524000,3336722,4434,42.13032828
7969,79.6900,10000000,10000000,100.00000000,7969000,7570550,3307137,4368,41.50002510
8019,80.1900,10000000,10000000,100.00000000,8019000,7618050,3275847,4300,40.85106622
8068,80.6800,10000000,10000000,100.00000000,8068000,7664600,3244094,4232,40.20939514
8118,81.1800,10000000,10000000,100.00000000,8118000,7712100,3210569,4163,39.54876817
8167,81.6700,10000000,10000000,100.00000000,8167000,7758650,3176602,4094,38.89557977
8217,82.1700,10000000,10000000,100.00000000,8217000,7806150,3140794,4023,38.22312279
8266,82.6600,10000000,10000000,100.00000000,8266000,7852700,3104568,3953,37.55828696
8316,83.1600,10000000,10000000,100.00000000,8316000,7900200,3066432,3881,36.87388167
8365,83.6500,10000000,10000000,100.00000000,8365000,7946750,3027899,3810,36.19723849
8415,84.1500,10000000,10000000,100.00000000,8415000,7994250,2987386,3736,35.50072490
8464,84.6400,10000000,10000000,100.00000000,8464000,8040800,2946501,3664,34.81215737
8514,85.1400,10000000,10000000,100.00000000,8514000,8088300,2903563,3589,34.10339441
8563,85.6300,10000000,10000000,100.00000000,8563000,8134850,2860277,3516,33.40274437
8613,86.1300,10000000,10000000,100.00000000,8613000,8182350,2814866,3440,32.68159759
8662,86.6200,10000000,10000000,100.00000000,8662000,8228900,2769132,3365,31.96873701
8712,87.1200,10000000,10000000,100.00000000,8712000,8276400,2721197,3287,31.23504362
8761,87.6100,10000000,10000000,100.00000000,8761000,8322950,2672965,3211,30.50981623
8811,88.1100,10000000,10000000,100.00000000,8811000,8370450,2622457,3132,29.76344342
8860,88.6000,10000000,10000000,100.00000000,8860000,8417000,2571680,3055,29.02573363
8910,89.1000,10000000,10000000,100.00000000,8910000,8464500,2518548,2975,28.26653199
8959,89.5900,10000000,10000000,100.00000000,8959000,8511050,2465175,2896,27.51618484
9009,90.0900,10000000,10000000,100.00000000,9009000,8558550,2409368,2815,26.74401154
9058,90.5800,10000000,10000000,100.00000000,9058000,8605100,2353348,2734,25.98087878
9108,91.0800,10000000,10000000,100.00000000,9108000,8652600,2294816,2652,25.19560826
9157,91.5700,10000000,10000000,100.00000000,9157000,8699150,2236099,2570,24.41955881
9207,92.0700,10000000,10000000,100.00000000,9207000,8746650,2174787,2486,23.62101662
