util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
0,0.0000,10000000,10000000,100.00000000,0,0,0,0,0.00000000
49,0.4900,10000000,10000000,100.00000000,49000,46550,46547,9999,94.99387755
99,0.9900,10000000,10000000,100.00000000,99000,94050,94041,9999,94.99090909
148,1.4800,10000000,10000000,100.00000000,148000,140600,140579,9998,94.98581081
198,1.9800,10000000,10000000,100.00000000,198000,188100,188063,9998,94.98131313
247,2.4700,10000000,10000000,100.00000000,247000,234650,234591,9997,94.97611336
297,2.9700,10000000,10000000,100.00000000,297000,282150,282064,9996,94.97104377
346,3.4600,10000000,10000000,100.00000000,346000,328700,328580,9996,94.96531792
396,3.9600,10000000,10000000,100.00000000,396000,376200,376038,9995,94.95909091
445,4.4500,10000000,10000000,100.00000000,445000,422750,422539,9995,94.95258427
495,4.9500,10000000,10000000,100.00000000,495000,470250,469980,9994,94.94545455
544,5.4400,10000000,10000000,100.00000000,544000,516800,516462,9993,94.93786765
594,5.9400,10000000,10000000,100.00000000,594000,564300,563881,9992,94.92946128
643,6.4300,10000000,10000000,100.00000000,643000,610850,610339,9991,94.92052877
693,6.9300,10000000,10000000,100.00000000,693000,658350,657730,9990,94.91053391
742,7.4200,10000000,10000000,100.00000000,742000,704900,704158,9989,94.90000000
792,7.9200,10000000,10000000,100.00000000,792000,752400,751516,9988,94.88838384
841,8.4100,10000000,10000000,100.00000000,841000,798950,797908,9986,94.87609988
891,8.9100,10000000,10000000,100.00000000,891000,846450,845225,9985,94.86251403
940,9.4000,10000000,10000000,100.00000000,940000,893000,891572,9984,94.84808511
990,9.9000,10000000,10000000,100.00000000,990000,940500,938840,9982,94.83232323
1039,10.3900,10000000,10000000,100.00000000,1039000,987050,985136,9980,94.81578441
1089,10.8900,10000000,10000000,100.00000000,1089000,1034550,1032345,9978,94.79752066
1138,11.3800,10000000,10000000,100.00000000,1138000,1081100,1078578,9976,94.77838313
1188,11.8800,10000000,10000000,100.00000000,1188000,1128600,1125720,9974,94.75757576
1237,12.3700,10000000,10000000,100.00000000,1237000,1175150,1171880,9972,94.73565077
1287,12.8700,10000000,10000000,100.00000000,1287000,1222650,1218942,9969,94.71188811
1336,13.3600,10000000,10000000,100.00000000,1336000,1269200,1265020,9967,94.68712575
1386,13.8600,10000000,10000000,100.00000000,1386000,1316700,1311990,9964,94.66017316
1435,14.3500,10000000,10000000,100.00000000,1435000,1363250,1357972,9961,94.63219512
1485,14.8500,10000000,10000000,100.00000000,1485000,1410750,1404838,9958,94.60188552
1534,15.3400,10000000,10000000,100.00000000,1534000,1457300,1450711,9954,94.57046936
1584,15.8400,10000000,10000000,100.00000000,1584000,1504800,1497459,9951,94.53655303
1633,16.3300,10000000,10000000,100.00000000,1633000,1551350,1543209,9947,94.50146969
1683,16.8300,10000000,10000000,100.00000000,1683000,1598850,1589824,9943,94.46369578
1732,17.3200,10000000,10000000,100.00000000,1732000,1645400,1635436,9939,94.42471132
1782,17.8200,10000000,10000000,100.00000000,1782000,1692900,1681902,9935,94.38282828
1831,18.3100,10000000,10000000,100.00000000,1831000,1739450,1727361,9930,94.33975969
1881,18.8100,10000000,10000000,100.00000000,1881000,1786950,1773662,9925,94.29356725
1930,19.3000,10000000,10000000,100.00000000,1930000,1833500,1818950,9920,94.24611399
1980,19.8000,10000000,10000000,100.00000000,1980000,1881000,1865068,9915,94.19535354
2029,20.2900,10000000,10000000,100.00000000,2029000,1927550,1910168,9909,94.14332183
2079,20.7900,10000000,10000000,100.00000000,2079000,1975050,1956084,9903,94.08773449
2128,21.2800,10000000,10000000,100.00000000,2128000,2021600,2000977,9897,94.03087406
2178,21.7800,10000000,10000000,100.00000000,2178000,2069100,2046673,9891,93.97029385
2227,22.2700,10000000,10000000,100.00000000,2227000,2115650,2091340,9885,93.90839695
2277,22.7700,10000000,10000000,100.00000000,2277000,2163150,2136794,9878,93.84251208
2326,23.2600,10000000,10000000,100.00000000,2326000,2209700,2181214,9871,93.77532244
2376,23.7600,10000000,10000000,100.00000000,2376000,2257200,2226406,9863,93.70395623
2425,24.2500,10000000,10000000,100.00000000,2425000,2303750,2270557,9855,93.63121649
2475,24.7500,10000000,10000000,100.00000000,2475000,2351250,2315464,9847,93.55410101
2524,25.2400,10000000,10000000,100.00000000,2524000,2397800,2359325,9839,93.47563391
2574,25.7400,10000000,10000000,100.00000000,2574000,2445300,2403923,9830,93.39250194
2623,26.2300,10000000,10000000,100.00000000,2623000,2491850,2447470,9821,93.30804422
2673,26.7300,10000000,10000000,100.00000000,2673000,2539350,2491736,9812,93.21870557
2722,27.2200,10000000,10000000,100.00000000,2722000,2585900,2534945,9802,93.12803086
2772,27.7200,10000000,10000000,100.00000000,2772000,2633400,2578854,9792,93.03225108
2821,28.2100,10000000,10000000,100.00000000,2821000,2679950,2621700,9782,92.93512939
2871,28.7100,10000000,10000000,100.00000000,2871000,2727450,2665225,9771,92.83263671
2920,29.2000,10000000,10000000,100.00000000,2920000,2774000,2707682,9760,92.72883562
2970,29.7000,10000000,10000000,100.00000000,2970000,2821500,2750797,9749,92.61942761
3019,30.1900,10000000,10000000,100.00000000,3019000,2868050,2792838,9737,92.50871149
3069,30.6900,10000000,10000000,100.00000000,3069000,2915550,2835514,9725,92.39211470
3118,31.1800,10000000,10000000,100.00000000,3118000,2962100,2877112,9713,92.27427838
3168,31.6800,10000000,10000000,100.00000000,3168000,3009600,2919320,9700,92.15025253
3217,32.1700,10000000,10000000,100.00000000,3217000,3056150,2960445,9686,92.02502331
3267,32.6700,10000000,10000000,100.00000000,3267000,3103650,3002157,9672,91.89338843
3316,33.1600,10000000,10000000,100.00000000,3316000,3150200,3042780,9659,91.76055489
3366,33.6600,10000000,10000000,100.00000000,3366000,3197700,3083963,9644,91.62100416
3415,34.1500,10000000,10000000,100.00000000,3415000,3244250,3124053,9629,91.48032211
3465,34.6500,10000000,10000000,100.00000000,3465000,3291750,3164677,9613,91.33266955
3514,35.1400,10000000,10000000,100.00000000,3514000,3338300,3204203,9598,91.18392146
3564,35.6400,10000000,10000000,100.00000000,3564000,3385800,3244235,9581,91.02791807
3613,36.1300,10000000,10000000,100.00000000,3613000,3432350,3283164,9565,90.87085524
3663,36.6300,10000000,10000000,100.00000000,3663000,3479850,3322570,9548,90.70625171
3712,37.1200,10000000,10000000,100.00000000,3712000,3526400,3360869,9530,90.54065194
3762,37.6200,10000000,10000000,100.00000000,3762000,3573900,3399615,9512,90.36722488
3811,38.1100,10000000,10000000,100.00000000,3811000,3620450,3437249,9493,90.19283653
