util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
0,0.0000,10000000,10000000,100.00000000,0,0,0,0,0.00000000
49,0.4900,10000000,10000000,100.00000000,49000,46550,46538,9997,94.97551020
99,0.9900,10000000,10000000,100.00000000,99000,94050,93997,9994,94.94646465
148,1.4800,10000000,10000000,100.00000000,148000,140600,140474,9991,94.91486486
198,1.9800,10000000,10000000,100.00000000,198000,188100,187859,9987,94.87828283
247,2.4700,10000000,10000000,100.00000000,247000,234650,234251,9982,94.83846154
297,2.9700,10000000,10000000,100.00000000,297000,282150,281538,9978,94.79393939
346,3.4600,10000000,10000000,100.00000000,346000,328700,327822,9973,94.74624277
396,3.9600,10000000,10000000,100.00000000,396000,376200,374986,9967,94.69343434
445,4.4500,10000000,10000000,100.00000000,445000,422750,421138,9961,94.63775281
495,4.9500,10000000,10000000,100.00000000,495000,470250,468156,9955,94.57696970
544,5.4400,10000000,10000000,100.00000000,544000,516800,514153,9948,94.51341912
594,5.9400,10000000,10000000,100.00000000,594000,564300,561000,9941,94.44444444
643,6.4300,10000000,10000000,100.00000000,643000,610850,606818,9933,94.37293935
693,6.9300,10000000,10000000,100.00000000,693000,658350,653472,9925,94.29610390
742,7.4200,10000000,10000000,100.00000000,742000,704900,699088,9917,94.21671159
792,7.9200,10000000,10000000,100.00000000,792000,752400,745523,9908,94.13169192
841,8.4100,10000000,10000000,100.00000000,841000,798950,790913,9899,94.04435196
891,8.9100,10000000,10000000,100.00000000,891000,846450,837106,9889,93.95129068
940,9.4000,10000000,10000000,100.00000000,940000,893000,882247,9879,93.85606383
990,9.9000,10000000,10000000,100.00000000,990000,940500,928174,9868,93.75494949
1039,10.3900,10000000,10000000,100.00000000,1039000,987050,973042,9858,93.65178056
1089,10.8900,10000000,10000000,100.00000000,1089000,1034550,1018679,9846,93.54260790
1138,11.3800,10000000,10000000,100.00000000,1138000,1081100,1063252,9834,93.43163445
1188,11.8800,10000000,10000000,100.00000000,1188000,1128600,1108574,9822,93.31430976
1237,12.3700,10000000,10000000,100.00000000,1237000,1175150,1152827,9810,93.19539208
1287,12.8700,10000000,10000000,100.00000000,1287000,1222650,1197812,9796,93.07008547
1336,13.3600,10000000,10000000,100.00000000,1336000,1269200,1241722,9783,92.94326347
1386,13.8600,10000000,10000000,100.00000000,1386000,1316700,1286345,9769,92.80988456
1435,14.3500,10000000,10000000,100.00000000,1435000,1363250,1329889,9755,92.67519164
1485,14.8500,10000000,10000000,100.00000000,1485000,1410750,1374125,9740,92.53367003
1534,15.3400,10000000,10000000,100.00000000,1534000,1457300,1417279,9725,92.39106910
1584,15.8400,10000000,10000000,100.00000000,1584000,1504800,1461106,9709,92.24154040
1633,16.3300,10000000,10000000,100.00000000,1633000,1551350,1503847,9693,92.09105940
1683,16.8300,10000000,10000000,100.00000000,1683000,1598850,1547240,9677,91.93345217
1732,17.3200,10000000,10000000,100.00000000,1732000,1645400,1589544,9660,91.77505774
1782,17.8200,10000000,10000000,100.00000000,1782000,1692900,1632479,9643,91.60937149
1831,18.3100,10000000,10000000,100.00000000,1831000,1739450,1674322,9625,91.44303659
1881,18.8100,10000000,10000000,100.00000000,1881000,1786950,1716776,9607,91.26932483
1930,19.3000,10000000,10000000,100.00000000,1930000,1833500,1758136,9588,91.09512953
1980,19.8000,10000000,10000000,100.00000000,1980000,1881000,1800084,9569,90.91333333
2029,20.2900,10000000,10000000,100.00000000,2029000,1927550,1840936,9550,90.73119763
2079,20.7900,10000000,10000000,100.00000000,2079000,1975050,1882354,9530,90.54131794
2128,21.2800,10000000,10000000,100.00000000,2128000,2021600,1922676,9510,90.35131579
2178,21.7800,10000000,10000000,100.00000000,2178000,2069100,1963541,9489,90.15339761
2227,22.2700,10000000,10000000,100.00000000,2227000,2115650,2003308,9468,89.95545577
2277,22.7700,10000000,10000000,100.00000000,2277000,2163150,2043596,9447,89.74949495
2326,23.2600,10000000,10000000,100.00000000,2326000,2209700,2082786,9425,89.54368014
2376,23.7600,10000000,10000000,100.00000000,2376000,2257200,2122472,9403,89.32962963
2425,24.2500,10000000,10000000,100.00000000,2425000,2303750,2161060,9380,89.11587629
2475,24.7500,10000000,10000000,100.00000000,2475000,2351250,2200121,9357,88.89377778
2524,25.2400,10000000,10000000,100.00000000,2524000,2397800,2238085,9333,88.67214739
2574,25.7400,10000000,10000000,100.00000000,2574000,2445300,2276496,9309,88.44195804
2623,26.2300,10000000,10000000,100.00000000,2623000,2491850,2313812,9285,88.21242852
2673,26.7300,10000000,10000000,100.00000000,2673000,2539350,2351550,9260,87.97418631
2722,27.2200,10000000,10000000,100.00000000,2722000,2585900,2388195,9235,87.73677443
2772,27.7200,10000000,10000000,100.00000000,2772000,2633400,2425236,9209,87.49047619
2821,28.2100,10000000,10000000,100.00000000,2821000,2679950,2461185,9183,87.24512584
2871,28.7100,10000000,10000000,100.00000000,2871000,2727450,2497505,9156,86.99076977
2920,29.2000,10000000,10000000,100.00000000,2920000,2774000,2532736,9130,86.73753425
2970,29.7000,10000000,10000000,100.00000000,2970000,2821500,2568310,9102,86.47508418
3019,30.1900,10000000,10000000,100.00000000,3019000,2868050,2602799,9075,86.21394501
3069,30.6900,10000000,10000000,100.00000000,3069000,2915550,2637605,9046,85.94346693
3118,31.1800,10000000,10000000,100.00000000,3118000,2962100,2671328,9018,85.67440667
3168,31.6800,10000000,10000000,100.00000000,3168000,3009600,2705341,8989,85.39586490
3217,32.1700,10000000,10000000,100.00000000,3217000,3056150,2738276,8959,85.11893068
3267,32.6700,10000000,10000000,100.00000000,3267000,3103650,2771471,8929,84.83229262
3316,33.1600,10000000,10000000,100.00000000,3316000,3150200,2803593,8899,84.54743667
3366,33.6600,10000000,10000000,100.00000000,3366000,3197700,2835948,8868,84.25276292
3415,34.1500,10000000,10000000,100.00000000,3415000,3244250,2867234,8837,83.96000000
3465,34.6500,10000000,10000000,100.00000000,3465000,3291750,2898724,8806,83.65725830
3514,35.1400,10000000,10000000,100.00000000,3514000,3338300,2929151,8774,83.35660216
3564,35.6400,10000000,10000000,100.00000000,3564000,3385800,2959752,8741,83.04579125
3613,36.1300,10000000,10000000,100.00000000,3613000,3432350,2989297,8709,82.73725436
3663,36.6300,10000000,10000000,100.00000000,3663000,3479850,3018985,8675,82.41837292
3712,37.1200,10000000,10000000,100.00000000,3712000,3526400,3047623,8642,82.10191272
3762,37.6200,10000000,10000000,100.00000000,3762000,3573900,3076374,8607,81.77496013
3811,38.1100,10000000,10000000,100.00000000,3811000,3620450,3104083,8573,81.45061664
3861,38.6100,10000000,10000000,100.00000000,3861000,3667950,3131873,8538,81.11559182
3910,39.1000,10000000,10000000,100.00000000,3910000,3714500,3158629,8503,80.78335038
3960,39.6000,10000000,10000000,100.00000000,3960000,3762000,3185435,8467,80.44027778
4009,40.0900,10000000,10000000,100.00000000,4009000,3808550,3211214,8431,80.10012472
4059,40.5900,10000000,10000000,100.00000000,4059000,3856050,3237011,8394,79.74897758
4108,41.0800,10000000,10000000,100.00000000,4108000,3902600,3261790,8357,79.40092502
4158,41.5800,10000000,10000000,100.00000000,4158000,3950100,3286555,8320,79.04172679
4207,42.0700,10000000,10000000,100.00000000,4207000,3996650,3310310,8282,78.68576183
4257,42.5700,10000000,10000000,100.00000000,4257000,4044150,3334018,8244,78.31848720
4306,43.0600,10000000,10000000,100.00000000,4306000,4090700,3356726,8205,77.95462146
4356,43.5600,10000000,10000000,100.00000000,4356000,4138200,3379354,8166,77.57929293
4405,44.0500,10000000,10000000,100.00000000,4405000,4184750,3400992,8127,77.20753689
4455,44.5500,10000000,10000000,100.00000000,4455000,4232250,3422516,8086,76.82415264
4504,45.0400,10000000,10000000,100.00000000,4504000,4278800,3443059,8046,76.44447158
4554,45.5400,10000000,10000000,100.00000000,4554000,4326300,3463455,8005,76.05303030
4603,46.0300,10000000,10000000,100.00000000,4603000,4372850,3482880,7964,75.66543559
4653,46.5300,10000000,10000000,100.00000000,4653000,4420350,3502124,7922,75.26593596
4702,47.0200,10000000,10000000,100.00000000,4702000,4466900,3520409,7881,74.87045938
4752,47.5200,10000000,10000000,100.00000000,4752000,4514400,3538476,7838,74.46287879
4801,48.0100,10000000,10000000,100.00000000,4801000,4560950,3555596,7795,74.05948761
4851,48.5100,10000000,10000000,100.00000000,4851000,4608450,3572463,7751,73.64384663
4900,49.0000,10000000,10000000,100.00000000,4900000,4655000,3588396,7708,73.23257143
4950,49.5000,10000000,10000000,100.00000000,4950000,4702500,3604039,7664,72.80886869
4999,49.9900,10000000,10000000,100.00000000,4999000,4749050,3618760,7619,72.38967794
5049,50.4900,10000000,10000000,100.00000000,5049000,4796550,3633155,7574,71.95791246
5098,50.9800,10000000,10000000,100.00000000,5098000,4843100,3646641,7529,71.53081601
5148,51.4800,10000000,10000000,100.00000000,5148000,4890600,3659764,7483,71.09098679
5197,51.9700,10000000,10000000,100.00000000,5197000,4937150,3671992,7437,70.65599384
5247,52.4700,10000000,10000000,100.00000000,5247000,4984650,3683819,7390,70.20809987
5296,52.9600,10000000,10000000,100.00000000,5296000,5031200,3694766,7343,69.76521903
5346,53.4600,10000000,10000000,100.00000000,5346000,5078700,3705273,7295,69.30925926
5395,53.9500,10000000,10000000,100.00000000,5395000,5125250,3714914,7248,68.85846154
5445,54.4500,10000000,10000000,100.00000000,5445000,5172750,3724077,7199,68.39443526
5494,54.9400,10000000,10000000,100.00000000,5494000,5219300,3732389,7151,67.93572989
5544,55.4400,10000000,10000000,100.00000000,5544000,5266800,3740185,7101,67.46365440
5593,55.9300,10000000,10000000,100.00000000,5593000,5313350,3747145,7052,66.99704988
5643,56.4300,10000000,10000000,100.00000000,5643000,5360850,3753549,7001,66.51690590
5692,56.9200,10000000,10000000,100.00000000,5692000,5407400,3759133,6951,66.04239283
5742,57.4200,10000000,10000000,100.00000000,5742000,5454900,3764121,6900,65.55417973
5791,57.9100,10000000,10000000,100.00000000,5791000,5501450,3768307,6849,65.07178380
5841,58.4100,10000000,10000000,100.00000000,5841000,5548950,3771855,6797,64.57550077
5890,58.9000,10000000,10000000,100.00000000,5890000,5595500,3774618,6745,64.08519525
5940,59.4000,10000000,10000000,100.00000000,5940000,5643000,3776703,6692,63.58085859
5989,59.8900,10000000,10000000,100.00000000,5989000,5689550,3778020,6640,63.08265153
6039,60.3900,10000000,10000000,100.00000000,6039000,5737050,3778617,6586,62.57024342
