util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
0,0.0000,10000000,10000000,100.00000000,0,0,0,0,0.00000000
49,0.4900,10000000,10000000,100.00000000,49000,46550,46506,9990,94.91020408
99,0.9900,10000000,10000000,100.00000000,99000,94050,93873,9981,94.82121212
148,1.4800,10000000,10000000,100.00000000,148000,140600,140204,9971,94.73243243
198,1.9800,10000000,10000000,100.00000000,198000,188100,187391,9962,94.64191919
247,2.4700,10000000,10000000,100.00000000,247000,234650,233546,9952,94.55303644
297,2.9700,10000000,10000000,100.00000000,297000,282150,280552,9943,94.46195286
346,3.4600,10000000,10000000,100.00000000,346000,328700,326529,9933,94.37254335
396,3.9600,10000000,10000000,100.00000000,396000,376200,373353,9924,94.28106061
445,4.4500,10000000,10000000,100.00000000,445000,422750,419150,9914,94.19101124
495,4.9500,10000000,10000000,100.00000000,495000,470250,465788,9905,94.09858586
544,5.4400,10000000,10000000,100.00000000,544000,516800,511401,9895,94.00753676
594,5.9400,10000000,10000000,100.00000000,594000,564300,557850,9885,93.91414141
643,6.4300,10000000,10000000,100.00000000,643000,610850,603275,9875,93.82192846
693,6.9300,10000000,10000000,100.00000000,693000,658350,649531,9866,93.72741703
742,7.4200,10000000,10000000,100.00000000,742000,704900,694764,9856,93.63396226
792,7.9200,10000000,10000000,100.00000000,792000,752400,740821,9846,93.53800505
841,8.4100,10000000,10000000,100.00000000,841000,798950,785857,9836,93.44316290
891,8.9100,10000000,10000000,100.00000000,891000,846450,831709,9825,93.34556678
940,9.4000,10000000,10000000,100.00000000,940000,893000,876542,9815,93.24914894
990,9.9000,10000000,10000000,100.00000000,990000,940500,922183,9805,93.14979798
1039,10.3900,10000000,10000000,100.00000000,1039000,987050,966805,9794,93.05149182
1089,10.8900,10000000,10000000,100.00000000,1089000,1034550,1012227,9784,92.95013774
1138,11.3800,10000000,10000000,100.00000000,1138000,1081100,1056631,9773,92.84982425
1188,11.8800,10000000,10000000,100.00000000,1188000,1128600,1101827,9762,92.74638047
1237,12.3700,10000000,10000000,100.00000000,1237000,1175150,1146004,9751,92.64381568
1287,12.8700,10000000,10000000,100.00000000,1287000,1222650,1190964,9740,92.53799534
1336,13.3600,10000000,10000000,100.00000000,1336000,1269200,1234906,9729,92.43308383
1386,13.8600,10000000,10000000,100.00000000,1386000,1316700,1279621,9718,92.32474747
1435,14.3500,10000000,10000000,100.00000000,1435000,1363250,1323317,9707,92.21721254
1485,14.8500,10000000,10000000,100.00000000,1485000,1410750,1367776,9695,92.10612795
1534,15.3400,10000000,10000000,100.00000000,1534000,1457300,1411217,9683,91.99589309
1584,15.8400,10000000,10000000,100.00000000,1584000,1504800,1455409,9671,91.88188131
1633,16.3300,10000000,10000000,100.00000000,1633000,1551350,1498582,9659,91.76864666
1683,16.8300,10000000,10000000,100.00000000,1683000,1598850,1542495,9647,91.65151515
1732,17.3200,10000000,10000000,100.00000000,1732000,1645400,1585389,9635,91.53516166
1782,17.8200,10000000,10000000,100.00000000,1782000,1692900,1629011,9622,91.41475870
1831,18.3100,10000000,10000000,100.00000000,1831000,1739450,1671612,9610,91.29503004
1881,18.8100,10000000,10000000,100.00000000,1881000,1786950,1714929,9596,91.17113238
1930,19.3000,10000000,10000000,100.00000000,1930000,1833500,1757224,9583,91.04787565
1980,19.8000,10000000,10000000,100.00000000,1980000,1881000,1800221,9570,90.92025253
