util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
0,0.0000,10000000,10000000,100.00000000,0,0,0,0,0.00000000
49,0.4900,10000000,10000000,100.00000000,49000,46550,46462,9981,94.82040816
99,0.9900,10000000,10000000,100.00000000,99000,94050,93691,9961,94.63737374
148,1.4800,10000000,10000000,100.00000000,148000,140600,139792,9942,94.45405405
198,1.9800,10000000,10000000,100.00000000,198000,188100,186644,9922,94.26464646
247,2.4700,10000000,10000000,100.00000000,247000,234650,232370,9902,94.07692308
297,2.9700,10000000,10000000,100.00000000,297000,282150,278830,9882,93.88215488
346,3.4600,10000000,10000000,100.00000000,346000,328700,324165,9862,93.68930636
396,3.9600,10000000,10000000,100.00000000,396000,376200,370219,9841,93.48964646
445,4.4500,10000000,10000000,100.00000000,445000,422750,415147,9820,93.29146067
495,4.9500,10000000,10000000,100.00000000,495000,470250,460780,9798,93.08686869
544,5.4400,10000000,10000000,100.00000000,544000,516800,505288,9777,92.88382353
594,5.9400,10000000,10000000,100.00000000,594000,564300,550484,9755,92.67407407
643,6.4300,10000000,10000000,100.00000000,643000,610850,594556,9733,92.46594090
693,6.9300,10000000,10000000,100.00000000,693000,658350,639300,9710,92.25108225
742,7.4200,10000000,10000000,100.00000000,742000,704900,682923,9688,92.03814016
792,7.9200,10000000,10000000,100.00000000,792000,752400,727200,9665,91.81818182
841,8.4100,10000000,10000000,100.00000000,841000,798950,770357,9642,91.60011891
891,8.9100,10000000,10000000,100.00000000,891000,846450,814152,9618,91.37508418
940,9.4000,10000000,10000000,100.00000000,940000,893000,856829,9594,91.15202128
990,9.9000,10000000,10000000,100.00000000,990000,940500,900126,9570,90.92181818
1039,10.3900,10000000,10000000,100.00000000,1039000,987050,942309,9546,90.69384023
1089,10.8900,10000000,10000000,100.00000000,1089000,1034550,985094,9521,90.45858586
1138,11.3800,10000000,10000000,100.00000000,1138000,1081100,1026767,9497,90.22557118
1188,11.8800,10000000,10000000,100.00000000,1188000,1128600,1069025,9472,89.98526936
1237,12.3700,10000000,10000000,100.00000000,1237000,1175150,1110173,9447,89.74721099
1287,12.8700,10000000,10000000,100.00000000,1287000,1222650,1151888,9421,89.50178710
1336,13.3600,10000000,10000000,100.00000000,1336000,1269200,1192498,9395,89.25883234
1386,13.8600,10000000,10000000,100.00000000,1386000,1316700,1233655,9369,89.00829726
1435,14.3500,10000000,10000000,100.00000000,1435000,1363250,1273710,9343,88.76027875
1485,14.8500,10000000,10000000,100.00000000,1485000,1410750,1314295,9316,88.50471380
1534,15.3400,10000000,10000000,100.00000000,1534000,1457300,1353781,9289,88.25169492
1584,15.8400,10000000,10000000,100.00000000,1584000,1504800,1393778,9262,87.99103535
1633,16.3300,10000000,10000000,100.00000000,1633000,1551350,1432680,9235,87.73300674
1683,16.8300,10000000,10000000,100.00000000,1683000,1598850,1472074,9207,87.46726084
1732,17.3200,10000000,10000000,100.00000000,1732000,1645400,1510378,9179,87.20427252
1782,17.8200,10000000,10000000,100.00000000,1782000,1692900,1549153,9150,86.93338945
1831,18.3100,10000000,10000000,100.00000000,1831000,1739450,1586844,9122,86.66542873
1881,18.8100,10000000,10000000,100.00000000,1881000,1786950,1624985,9093,86.38942052
1930,19.3000,10000000,10000000,100.00000000,1930000,1833500,1662048,9064,86.11647668
1980,19.8000,10000000,10000000,100.00000000,1980000,1881000,1699541,9035,85.83540404
2029,20.2900,10000000,10000000,100.00000000,2029000,1927550,1735961,9006,85.55746673
2079,20.7900,10000000,10000000,100.00000000,2079000,1975050,1772791,8975,85.27133237
2128,21.2800,10000000,10000000,100.00000000,2128000,2021600,1808553,8946,84.98839286
2178,21.7800,10000000,10000000,100.00000000,2178000,2069100,1844703,8915,84.69710744
2227,22.2700,10000000,10000000,100.00000000,2227000,2115650,1879793,8885,84.40920521
2277,22.7700,10000000,10000000,100.00000000,2277000,2163150,1915250,8853,84.11286781
2326,23.2600,10000000,10000000,100.00000000,2326000,2209700,1949652,8823,83.81994841
2376,23.7600,10000000,10000000,100.00000000,2376000,2257200,1984399,8791,83.51847643
2425,24.2500,10000000,10000000,100.00000000,2425000,2303750,2018099,8760,83.22057732
2475,24.7500,10000000,10000000,100.00000000,2475000,2351250,2052123,8727,82.91406061
2524,25.2400,10000000,10000000,100.00000000,2524000,2397800,2085106,8695,82.61117274
2574,25.7400,10000000,10000000,100.00000000,2574000,2445300,2118390,8663,82.29953380
2623,26.2300,10000000,10000000,100.00000000,2623000,2491850,2150641,8630,81.99165078
2673,26.7300,10000000,10000000,100.00000000,2673000,2539350,2183171,8597,81.67493453
2722,27.2200,10000000,10000000,100.00000000,2722000,2585900,2214675,8564,81.36204996
2772,27.7200,10000000,10000000,100.00000000,2772000,2633400,2246435,8530,81.04022367
2821,28.2100,10000000,10000000,100.00000000,2821000,2679950,2277178,8497,80.72236795
2871,28.7100,10000000,10000000,100.00000000,2871000,2727450,2308153,8462,80.39543713
2920,29.2000,10000000,10000000,100.00000000,2920000,2774000,2338120,8428,80.07260274
2970,29.7000,10000000,10000000,100.00000000,2970000,2821500,2368296,8393,79.74060606
3019,30.1900,10000000,10000000,100.00000000,3019000,2868050,2397471,8359,79.41275257
3069,30.6900,10000000,10000000,100.00000000,3069000,2915550,2426832,8323,79.07565982
3118,31.1800,10000000,10000000,100.00000000,3118000,2962100,2455201,8288,78.74281591
3168,31.6800,10000000,10000000,100.00000000,3168000,3009600,2483732,8252,78.40063131
3217,32.1700,10000000,10000000,100.00000000,3217000,3056150,2511280,8217,78.06279142
3267,32.6700,10000000,10000000,100.00000000,3267000,3103650,2538966,8180,77.71551882
3316,33.1600,10000000,10000000,100.00000000,3316000,3150200,2565678,8144,77.37267793
3366,33.6600,10000000,10000000,100.00000000,3366000,3197700,2592504,8107,77.02032086
3415,34.1500,10000000,10000000,100.00000000,3415000,3244250,2618366,8070,76.67250366
3465,34.6500,10000000,10000000,100.00000000,3465000,3291750,2644316,8033,76.31503608
3514,35.1400,10000000,10000000,100.00000000,3514000,3338300,2669313,7996,75.96223677
3564,35.6400,10000000,10000000,100.00000000,3564000,3385800,2694372,7957,75.59966330
3613,36.1300,10000000,10000000,100.00000000,3613000,3432350,2718489,7920,75.24187656
3663,36.6300,10000000,10000000,100.00000000,3663000,3479850,2742643,7881,74.87422877
3712,37.1200,10000000,10000000,100.00000000,3712000,3526400,2765864,7843,74.51142241
3762,37.6200,10000000,10000000,100.00000000,3762000,3573900,2789098,7804,74.13870282
3811,38.1100,10000000,10000000,100.00000000,3811000,3620450,2811409,7765,73.77090003
3861,38.6100,10000000,10000000,100.00000000,3861000,3667950,2833707,7725,73.39308469
3910,39.1000,10000000,10000000,100.00000000,3910000,3714500,2855094,7686,73.02030691
3960,39.6000,10000000,10000000,100.00000000,3960000,3762000,2876440,7646,72.63737374
4009,40.0900,10000000,10000000,100.00000000,4009000,3808550,2896888,7606,72.25961586
4059,40.5900,10000000,10000000,100.00000000,4059000,3856050,2917268,7565,71.87159399
4108,41.0800,10000000,10000000,100.00000000,4108000,3902600,2936762,7525,71.48885102
4158,41.5800,10000000,10000000,100.00000000,4158000,3950100,2956161,7483,71.09574315
