util_bps,util_pct,actual_liquidity,hard_wall_reserve,reserve_fullness_pct,raw_out,net_out_after_fee,dampened_out,liquidity_factor_bps,effective_price_pct
0,0.0000,10000000,10000000,100.00000000,0,0,0,0,0.00000000
49,0.4900,10000000,10000000,100.00000000,49000,46550,46539,9997,94.97755102
99,0.9900,10000000,10000000,100.00000000,99000,94050,94005,9995,94.95454545
148,1.4800,10000000,10000000,100.00000000,148000,140600,140501,9992,94.93310811
198,1.9800,10000000,10000000,100.00000000,198000,188100,187923,9990,94.91060606
247,2.4700,10000000,10000000,100.00000000,247000,234650,234374,9988,94.88825911
297,2.9700,10000000,10000000,100.00000000,297000,282150,281751,9985,94.86565657
346,3.4600,10000000,10000000,100.00000000,346000,328700,328159,9983,94.84364162
396,3.9600,10000000,10000000,100.00000000,396000,376200,375492,9981,94.82121212
445,4.4500,10000000,10000000,100.00000000,445000,422750,421856,9978,94.79910112
495,4.9500,10000000,10000000,100.00000000,495000,470250,469144,9976,94.77656566
544,5.4400,10000000,10000000,100.00000000,544000,516800,515464,9974,94.75441176
594,5.9400,10000000,10000000,100.00000000,594000,564300,562707,9971,94.73181818
643,6.4300,10000000,10000000,100.00000000,643000,610850,608983,9969,94.70964230
693,6.9300,10000000,10000000,100.00000000,693000,658350,656182,9967,94.68715729
742,7.4200,10000000,10000000,100.00000000,742000,704900,702414,9964,94.66495957
792,7.9200,10000000,10000000,100.00000000,792000,752400,749567,9962,94.64229798
841,8.4100,10000000,10000000,100.00000000,841000,798950,795755,9960,94.62009512
891,8.9100,10000000,10000000,100.00000000,891000,846450,842864,9957,94.59753086
940,9.4000,10000000,10000000,100.00000000,940000,893000,889007,9955,94.57521277
990,9.9000,10000000,10000000,100.00000000,990000,940500,936070,9952,94.55252525
1039,10.3900,10000000,10000000,100.00000000,1039000,987050,982169,9950,94.53022137
1089,10.8900,10000000,10000000,100.00000000,1089000,1034550,1029186,9948,94.50743802
1138,11.3800,10000000,10000000,100.00000000,1138000,1081100,1075240,9945,94.48506151
1188,11.8800,10000000,10000000,100.00000000,1188000,1128600,1122211,9943,94.46220539
1237,12.3700,10000000,10000000,100.00000000,1237000,1175150,1168220,9941,94.43977365
1287,12.8700,10000000,10000000,100.00000000,1287000,1222650,1215143,9938,94.41670552
1336,13.3600,10000000,10000000,100.00000000,1336000,1269200,1261105,9936,94.39408683
1386,13.8600,10000000,10000000,100.00000000,1386000,1316700,1307982,9933,94.37099567
1435,14.3500,10000000,10000000,100.00000000,1435000,1363250,1353896,9931,94.34815331
1485,14.8500,10000000,10000000,100.00000000,1485000,1410750,1400724,9928,94.32484848
1534,15.3400,10000000,10000000,100.00000000,1534000,1457300,1446590,9926,94.30182529
1584,15.8400,10000000,10000000,100.00000000,1584000,1504800,1493367,9924,94.27821970
1633,16.3300,10000000,10000000,100.00000000,1633000,1551350,1539184,9921,94.25499081
1683,16.8300,10000000,10000000,100.00000000,1683000,1598850,1585909,9919,94.23107546
1732,17.3200,10000000,10000000,100.00000000,1732000,1645400,1631674,9916,94.20750577
1782,17.8200,10000000,10000000,100.00000000,1782000,1692900,1678346,9914,94.18327722
1831,18.3100,10000000,10000000,100.00000000,1831000,1739450,1724058,9911,94.15936647
1881,18.8100,10000000,10000000,100.00000000,1881000,1786950,1770674,9908,94.13471558
1930,19.3000,10000000,10000000,100.00000000,1930000,1833500,1816330,9906,94.11036269
1980,19.8000,10000000,10000000,100.00000000,1980000,1881000,1862888,9903,94.08525253
2029,20.2900,10000000,10000000,100.00000000,2029000,1927550,1908485,9901,94.06037457
2079,20.7900,10000000,10000000,100.00000000,2079000,1975050,1954982,9898,94.03472823
2128,21.2800,10000000,10000000,100.00000000,2128000,2021600,2000517,9895,94.00925752
2178,21.7800,10000000,10000000,100.00000000,2178000,2069100,2046948,9892,93.98292011
2227,22.2700,10000000,10000000,100.00000000,2227000,2115650,2092418,9890,93.95680287
2277,22.7700,10000000,10000000,100.00000000,2277000,2163150,2138780,9887,93.92973210
2326,23.2600,10000000,10000000,100.00000000,2326000,2209700,2184180,9884,93.90283749
2376,23.7600,10000000,10000000,100.00000000,2376000,2257200,2230468,9881,93.87491582
2425,24.2500,10000000,10000000,100.00000000,2425000,2303750,2275793,9878,93.84713402
2475,24.7500,10000000,10000000,100.00000000,2475000,2351250,2322002,9875,93.81826263
2524,25.2400,10000000,10000000,100.00000000,2524000,2397800,2367247,9872,93.78950079
2574,25.7400,10000000,10000000,100.00000000,2574000,2445300,2413371,9869,93.75955711
2623,26.2300,10000000,10000000,100.00000000,2623000,2491850,2458529,9866,93.72966069
2673,26.7300,10000000,10000000,100.00000000,2673000,2539350,2504561,9863,93.69850355
2722,27.2200,10000000,10000000,100.00000000,2722000,2585900,2549625,9859,93.66734019
2772,27.7200,10000000,10000000,100.00000000,2772000,2633400,2595557,9856,93.63481241
2821,28.2100,10000000,10000000,100.00000000,2821000,2679950,2640519,9852,93.60223325
2871,28.7100,10000000,10000000,100.00000000,2871000,2727450,2686344,9849,93.56823406
2920,29.2000,10000000,10000000,100.00000000,2920000,2774000,2731195,9845,93.53407534
2970,29.7000,10000000,10000000,100.00000000,2970000,2821500,2776902,9841,93.49838384
3019,30.1900,10000000,10000000,100.00000000,3019000,2868050,2821634,9838,93.46253726
3069,30.6900,10000000,10000000,100.00000000,3069000,2915550,2867212,9834,93.42495927
3118,31.1800,10000000,10000000,100.00000000,3118000,2962100,2911812,9830,93.38717126
3168,31.6800,10000000,10000000,100.00000000,3168000,3009600,2957252,9826,93.34760101
3217,32.1700,10000000,10000000,100.00000000,3217000,3056150,3001709,9821,93.30770905
3267,32.6700,10000000,10000000,100.00000000,3267000,3103650,3046995,9817,93.26584022
3316,33.1600,10000000,10000000,100.00000000,3316000,3150200,3091296,9813,93.22364294
3366,33.6600,10000000,10000000,100.00000000,3366000,3197700,3136416,9808,93.17932264
3415,34.1500,10000000,10000000,100.00000000,3415000,3244250,3180547,9803,93.13461201
3465,34.6500,10000000,10000000,100.00000000,3465000,3291750,3225485,9798,93.08759019
